,Session,House,H_R_error,H_D_error
0,"(101, 2)",-80,0.04860319577307426,0.04770098022117643
1,"(102, 1)",-96,0.05113077382571746,0.0437077803047846
2,"(102, 2)",-102,0.05061001209664275,0.04501682950299819
3,"(103, 1)",-79,0.050775271150341215,0.044815256332166965
4,"(103, 2)",-82,0.04120383202240046,0.03520886646223871
5,"(104, 1)",25,0.04793152355123227,0.04860566647013023
6,"(104, 2)",39,0.04735545587162423,0.047278818036306576
7,"(105, 1)",19,0.043785384443156675,0.04470893377353005
8,"(105, 2)",23,0.04814085379603875,0.048405728471889134
9,"(106, 1)",10,0.03935798016436923,0.04382574741324683
10,"(106, 2)",9,0.016144434087713235,0.018090844429740162
11,"(107, 1)",9,0.03581481880427589,0.039764293702442784
12,"(107, 2)",10,0.04120031025326558,0.042633024697435525
13,"(108, 1)",23,0.04465158125176062,0.04607644535795586
14,"(108, 2)",24,0.04315574108744439,0.045678571227702136
15,"(109, 1)",30,0.03564913144523339,0.037143184974968546
16,"(109, 2)",29,0.043897580182808475,0.04569464214799429
17,"(110, 1)",-32,0.03878155673984842,0.03396608172120208
