,Session,Senate,S_R_error,S_D_error
0,"(101, 1)",-10,0.0527399339640109,0.04403063952434351
1,"(101, 2)",-10,0.09039260091455789,0.0892632415279409
2,"(102, 1)",-12,0.08306024347364349,0.07049126842159437
3,"(102, 2)",-14,0.05379591815322449,0.03678815787346015
4,"(103, 1)",-14,0.04273624172150953,0.038200408934671914
5,"(103, 2)",-12,0.05012533790438463,0.026608497787069398
6,"(104, 1)",6,0.030308255800218644,0.03437144968248176
7,"(104, 2)",7,0.034098872208727225,0.029483066265939325
8,"(105, 1)",10,0.03554625770802089,0.02291006806220093
9,"(105, 2)",10,0.034188559782223626,0.020322986497274476
10,"(106, 1)",10,0.0233853638246316,0.014520879725333686
11,"(106, 2)",10,0.03158888409959599,0.01746156358242164
12,"(107, 1)",0,0.03160215445458444,0.03065567867881864
13,"(107, 2)",-1,0.032250763231058605,0.03468547412849596
14,"(108, 1)",3,0.015665720069654672,0.0385664907822902
15,"(108, 2)",3,0.021136223621318433,0.04301809452795736
16,"(109, 1)",11,0.030448554936357564,0.02637161011537061
17,"(109, 2)",11,0.03280706424977292,0.029567791021972205
18,"(110, 1)",0,0.06471397967562897,0.06835901829973517
19,"(110, 2)",0,0.047590580243893836,0.029566649676655093
20,"(111, 1)",-14,0.11229795688851472,0.09282689865646515
21,"(111, 2)",-18,0.06900309562659565,0.06274381425449464
22,"(112, 1)",-4,0.047486808983355555,0.03392334587183118
23,"(112, 2)",-4,0.050934552941062534,0.01894361204475356
24,"(113, 1)",-8,0.08176117259659381,0.07611505411889966
25,"(113, 2)",-8,0.09822068623591965,0.10301323749228629
26,"(114, 1)",10,0.03197762667500036,0.02259196726551294
27,"(114, 2)",10,0.03484239299517435,0.030725417352718314
28,"(115, 1)",6,0.035138981395189804,0.05032705077007898
29,"(115, 2)",4,0.07220997767217681,0.07621142098624897
30,"(116, 1)",8,0.020416816359322434,0.05387673494270601
31,"(116, 2)",8,0.01929451573902917,0.05072821413493985
32,"(117, 1)",5,0.09533626198253528,0.08628550688255705
33,"(117, 2)",2,0.06374748099240603,0.010377909494450582
34,"(118, 1)",1,0.05043164471360891,0.02678594391947507
